R.Time (min),Intensity,MW_PEG,normalized RI
10.0,-20,215104.0646703107,0.0
10.00833,-20,213811.39161429874,0.0
10.01667,-19,212526.8554879161,0.00019833399444664816
10.025,-19,211253.45362873172,0.00019833399444664816
10.03333,-19,209989.55782737478,0.00019833399444664816
10.04167,-18,208733.58632096724,0.0003966679888932963
10.05,-18,207488.4702999558,0.0003966679888932963
10.05833,-17,206252.61827911262,0.0005950019833399445
10.06667,-16,205024.48403279297,0.0007933359777865926
10.075,-16,203806.93427602947,0.0007933359777865926
10.08333,-15,202598.41329974856,0.0009916699722332407
10.09167,-14,201397.4095011999,0.001190003966679889
10.1,-14,200206.72674483762,0.001190003966679889
10.10833,-13,199024.8441768967,0.001388337961126537
10.11667,-13,197850.2839292809,0.001388337961126537
10.125,-13,196685.7885952639,0.001388337961126537
10.13333,-12,195529.87128183563,0.0015866719555731853
10.14167,-12,194381.08699260492,0.0015866719555731853
10.15,-11,193242.118585009,0.0017850059500198333
10.15833,-11,192111.512257714,0.0017850059500198333
10.16667,-10,190987.85504758908,0.0019833399444664813
10.175,-10,189873.77156886578,0.0019833399444664813
10.18333,-9,188767.8402674918,0.00218167393891313
10.19167,-9,187668.67939890173,0.00218167393891313
10.2,-9,186578.8567853254,0.00218167393891313
10.20833,-9,185496.98229952395,0.00218167393891313
10.21667,-8,184421.7046238155,0.002380007933359778
10.225,-8,183355.53619946394,0.002380007933359778
10.23333,-8,182297.11752876113,0.002380007933359778
10.24167,-7,181245.1269515303,0.002578341927806426
10.25,-6,180202.02290015042,0.002776675922253074
10.25833,-6,179166.47573162735,0.002776675922253074
10.26667,-6,178137.1926955345,0.002776675922253074
10.275,-5,177116.57954966248,0.0029750099166997225
10.28333,-5,176103.33575269562,0.0029750099166997225
10.29167,-5,175096.19673715718,0.0029750099166997225
10.3,-4,174097.5168839002,0.0031733439111463705
10.30833,-4,173106.024021359,0.0031733439111463705
10.31667,-3,172120.48105853164,0.0033716779055930186
10.325,-3,171143.19226142403,0.0033716779055930186
10.33333,-2,170172.9131167664,0.0035700119000396666
10.34167,-1,169208.43332324753,0.003768345894486315
10.35,-1,168252.00825963277,0.003768345894486315
10.35833,-1,167302.42037933494,0.003768345894486315
10.36667,-1,166358.48550304843,0.003768345894486315
10.375,0,165422.41131644408,0.003966679888932963
10.38333,-1,164493.00656724154,0.003768345894486315
10.39167,-1,163569.11254897522,0.003768345894486315
10.4,0,162652.89041590362,0.003966679888932963
10.40833,0,161743.1745563294,0.003966679888932963
10.41667,1,160838.83110542232,0.004165013883379611
10.425,0,159941.97581620736,0.003966679888932963
10.43333,1,159051.46808193918,0.004165013883379611
10.44167,2,158166.198265633,0.00436334787782626
10.45,2,157288.23781868728,0.00436334787782626
10.45833,3,156416.4705212219,0.004561681872272907
10.46667,3,155549.810367199,0.004561681872272907
10.475,3,154690.28557633504,0.004561681872272907
10.48333,3,153836.80371454032,0.004561681872272907
10.49167,4,152988.3018262094,0.004760015866719556
10.5,4,152146.7659405273,0.004760015866719556
10.50833,4,151311.12682462612,0.004760015866719556
10.51667,4,150480.3440087081,0.004760015866719556
10.525,4,149656.3623446338,0.004760015866719556
10.53333,4,148838.1352321955,0.004760015866719556
10.54167,5,148024.64413819686,0.004958349861166204
10.55,5,147217.79372325484,0.004958349861166204
10.55833,5,146416.55946678712,0.004958349861166204
10.56667,4,145619.9442379521,0.004760015866719556
10.575,5,144829.81346586993,0.004958349861166204
10.58333,5,144045.16417161844,0.004958349861166204
10.59167,5,143265.02010697123,0.004958349861166204
10.6,6,142491.20840373833,0.005156683855612852
10.60833,5,141722.74710130613,0.004958349861166204
10.61667,5,140958.68032840863,0.004958349861166204
10.625,6,140200.79782890857,0.005156683855612852
10.63333,6,139448.13815133725,0.005156683855612852
10.64167,6,138699.76530939358,0.005156683855612852
10.65,6,137957.43254426398,0.005156683855612852
10.65833,6,137220.19841821838,0.005156683855612852
10.66667,6,136487.14635118627,0.005156683855612852
10.675,6,135759.99394354798,0.005156683855612852
10.68333,6,135037.8192892623,0.005156683855612852
10.69167,6,134319.7247486276,0.005156683855612852
10.7,5,133607.39312036053,0.004958349861166204
10.70833,6,132899.92156102502,0.005156683855612852
10.71667,6,132196.4309179101,0.005156683855612852
10.725,5,131498.570005153,0.004958349861166204
10.73333,5,130805.4545854131,0.004958349861166204
10.74167,5,130116.22355172156,0.004958349861166204
10.75,5,129432.49252927984,0.004958349861166204
10.75833,5,128753.39544255254,0.004958349861166204
10.76667,5,128078.08880082727,0.004958349861166204
10.775,4,127408.15581520351,0.004760015866719556
10.78333,5,126742.74813950773,0.004958349861166204
10.79167,5,126081.03948122688,0.004958349861166204
10.8,6,125424.58139197064,0.005156683855612852
10.80833,6,124772.54283399445,0.005156683855612852
10.81667,5,124124.1143060176,0.004958349861166204
10.825,5,123480.81643513126,0.004958349861166204
10.83333,6,122841.8350822552,0.005156683855612852
10.84167,5,122206.37714114811,0.004958349861166204
10.85,5,121575.93303026847,0.004958349861166204
10.85833,7,120949.70511028884,0.0053550178500595
10.86667,6,120326.91628426539,0.005156683855612852
10.875,6,119709.02745937437,0.005156683855612852
10.88333,6,119095.25710765921,0.005156683855612852
10.89167,5,118484.84376589058,0.004958349861166204
10.9,5,117879.21950929804,0.004958349861166204
10.90833,4,117277.61854314222,0.004760015866719556
10.91667,4,116679.29467218558,0.004760015866719556
10.925,4,116085.65180154517,0.004760015866719556
10.93333,4,115495.93950147791,0.004760015866719556
10.94167,3,114909.42648859369,0.004561681872272907
10.95,3,114327.48914272265,0.004561681872272907
10.95833,4,113749.3920405421,0.004760015866719556
10.96667,4,113174.41846367001,0.004760015866719556
10.975,4,112603.91789494411,0.004760015866719556
10.98333,4,112037.16956825957,0.004760015866719556
10.99167,5,111473.47099243531,0.004958349861166204
11.0,4,110914.14536554983,0.004760015866719556
11.00833,5,110358.48623861081,0.004958349861166204
11.01667,4,109805.80501861258,0.004760015866719556
11.025,4,109257.3992154928,0.004760015866719556
11.03333,5,108712.57636610887,0.004958349861166204
11.04167,5,108170.66145513025,0.004958349861166204
11.05,5,107632.92688579546,0.004958349861166204
11.05833,5,107098.69385813888,0.004958349861166204
11.06667,4,106567.30062228949,0.004760015866719556
11.075,4,106039.99504147682,0.004760015866719556
11.08333,5,105516.11166458068,0.004958349861166204
11.09167,4,104995.0017030272,0.004760015866719556
11.1,5,104477.88903238242,0.004958349861166204
11.10833,5,103964.12124414911,0.004958349861166204
11.11667,4,103453.06221470874,0.004760015866719556
11.125,4,102945.91237036794,0.004760015866719556
11.13333,5,102442.03204690831,0.004958349861166204
11.14167,4,101940.79749692389,0.004760015866719556
11.15,4,101443.38622230983,0.004760015866719556
11.15833,4,100949.17101243665,0.004760015866719556
11.16667,4,100457.54021475703,0.004760015866719556
11.175,4,99969.6489184205,0.004760015866719556
11.18333,4,99484.88208313577,0.004760015866719556
11.19167,5,99002.63987703953,0.004958349861166204
11.2,5,98524.05547538251,0.004958349861166204
11.20833,4,98048.52573219253,0.004760015866719556
11.21667,4,97575.46236909328,0.004760015866719556
11.225,4,97105.9771338193,0.004760015866719556
11.23333,4,96639.47850572465,0.004760015866719556
11.24167,5,96175.38949950607,0.004958349861166204
11.25,5,95714.80090964134,0.004958349861166204
11.25833,5,95257.13257864997,0.004958349861166204
11.26667,5,94801.81856048015,0.004958349861166204
11.275,5,94349.9291588226,0.004958349861166204
11.28333,5,93900.89532384084,0.004958349861166204
11.29167,5,93454.16190132324,0.004958349861166204
11.3,6,93010.77915517584,0.005156683855612852
11.30833,5,92570.18889413883,0.004958349861166204
11.31667,5,92131.84651466201,0.004958349861166204
11.325,4,91696.78268071312,0.004760015866719556
11.33333,5,91264.44981681791,0.004958349861166204
11.34167,5,90834.31363496692,0.004958349861166204
11.35,5,90407.38562818499,0.004958349861166204
11.35833,5,89983.12860009498,0.004958349861166204
11.36667,5,89561.01834899923,0.004958349861166204
11.375,5,89142.04761541712,0.004958349861166204
11.38333,5,88725.68935131228,0.004958349861166204
11.39167,6,88311.4292178004,0.005156683855612852
11.4,6,87900.24161106108,0.005156683855612852
11.40833,5,87491.60940641392,0.004958349861166204
11.41667,6,87085.02790985725,0.005156683855612852
11.425,5,86681.45357140581,0.004958349861166204
11.43333,5,86280.37897035865,0.004958349861166204
11.44167,6,85881.30884508758,0.005156683855612852
11.45,5,85485.18208789226,0.004958349861166204
11.45833,6,85091.50076813021,0.005156683855612852
11.46667,6,84699.77884930803,0.005156683855612852
11.475,6,84310.93804499599,0.005156683855612852
11.48333,7,83924.48970600017,0.0053550178500595
11.49167,7,83539.95681884544,0.0053550178500595
11.5,8,83158.24428815313,0.005553351844506148
11.50833,8,82778.87254272608,0.005553351844506148
11.51667,7,82401.3733949814,0.0053550178500595
11.525,7,82026.6353014073,0.0053550178500595
11.53333,7,81654.18757037533,0.0053550178500595
11.54167,8,81283.57064791583,0.005553351844506148
11.55,7,80915.6568944803,0.0053550178500595
11.55833,8,80549.98430446295,0.005553351844506148
11.56667,8,80186.10176995178,0.005553351844506148
11.575,8,79824.86589896382,0.005553351844506148
11.58333,9,79465.82318312439,0.005751685838952796
11.59167,9,79108.53077761189,0.005751685838952796
11.6,8,78753.82987335046,0.005553351844506148
11.60833,8,78401.27527502745,0.005553351844506148
11.61667,8,78050.43222241214,0.005553351844506148
