[Header]
Application Name	LabSolutions
Version	5.110
Data File Name	C:\LabSolutions\Data\June 2025\bp-2-41-a1__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_011.lcd
Output Date	6/24/2025
Output Time	12:04:21 PM

[Configuration]
Instrument Name	Aqueos SEC
Instrument #	1
Line #	1
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	UV-Vis	RID
# of Channels	2	1

[GPC Peak Table(Detector B)]
# of Peaks	5
Peak#	Start Time	Top Time	End Time	Start Volume	Top Volume	End Volume	Start M.W.	Top M.W.	End M.W.	Start Height	Top Height	End Height
1	0.225	0.287	0.333	0.225	0.287	0.333	1514624745248	1276304968476	1122769659887	-2980	1437	-2948
2	0.333	0.427	0.525	0.333	0.427	0.525	1122769659887	869307515701	666645987291	-2948	2193	-2891
3	0.525	0.628	0.733	0.525	0.628	0.733	666645987291	506474409622	382844673368	-2891	2160	-2828
4	0.733	0.952	2.708	0.733	0.952	2.708	382844673368	216829244252	3602646096	-2828	962	-2238
5	25.825	27.004	33.967	25.825	27.004	33.967	339	120	0	450	55791	2312

[Average Molecular Weight Table(Detector B)]
# of Peaks	5
Peak#	Mn	Mw	Mz	Mz1	Mv	Mw/Mn	Mv/Mn	Mz/Mw	I.Visc	%
Total	0	4692555065	774240804505	960939837997	0	9648697999.13640	0.00000	164.99344	1.00000	100.0000
1	1273079913416	1278987675234	1284941041781	1290918021456	0	1.00464	0.00000	1.00465	1.00000	0.0772
2	887364588536	900266325731	912959525472	925331498887	0	1.01454	0.00000	1.01410	1.00000	0.1989
3	511670126781	519778521540	527759392716	535543255805	0	1.01585	0.00000	1.01535	1.00000	0.2024
4	41803686231	123062285828	202304685161	248429768180	0	2.94381	0.00000	1.64392	1.00000	0.7011
5	0	70	125	151	0	145.45048	0.00000	1.79275	1.00000	98.8205

[RT/MW Range Table(Detector B)]
# of RT/MW Range	0

[GPC Calibration Curve Table(Detector B)]
# of Points	10
#	Time(min)	M.W.	Weight	Error	Active	Virtual	Data Name
1	11.217	99000	1	3.1258	ON	OFF	C:\LabSolutions\Data\June 2025\black__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_008.lcd
2	12.683	42700	1	-7.5102	ON	OFF	C:\LabSolutions\Data\June 2025\blue__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_009.lcd
3	15.533	18600	1	6.2694	ON	OFF	C:\LabSolutions\Data\June 2025\yellow__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_007.lcd
4	17.968	9890	1	1.8763	ON	OFF	C:\LabSolutions\Data\June 2025\1530__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_006.lcd
5	19.452	6530	1	-3.8945	ON	OFF	C:\LabSolutions\Data\June 2025\black__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_008.lcd
6	21.023	4100	1	-5.0456	ON	OFF	C:\LabSolutions\Data\June 2025\1030__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_005.lcd
7	22.858	2130	1	0.9680	ON	OFF	C:\LabSolutions\Data\June 2025\yellow__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_007.lcd
8	23.629	1530	1	5.9523	ON	OFF	C:\LabSolutions\Data\June 2025\1530__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_006.lcd
9	24.245	1030	1	1.4121	ON	OFF	C:\LabSolutions\Data\June 2025\1030__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_005.lcd
10	25.003	599	1	-4.1761	ON	OFF	C:\LabSolutions\Data\June 2025\blue__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_009.lcd
Calibration Curve	3rd Order
Comment	

[Molecular Weight Distribution Table(Detector B)]
# of Points	1275
R.Time	Volume(mL)	M.W.	M.W.(%)	Cumulative M.W.(%)
33.963	33.963	0	0.0017	0.0000
33.954	33.954	0	0.0221	0.0001
33.946	33.946	0	0.0427	0.0002
33.938	33.938	0	0.0637	0.0005
33.929	33.929	0	0.0845	0.0008
33.921	33.921	0	0.1056	0.0011
33.913	33.913	0	0.1268	0.0016
33.904	33.904	0	0.1483	0.0021
33.896	33.896	0	0.1699	0.0027
33.888	33.888	0	0.1917	0.0034
33.879	33.879	0	0.2133	0.0041
33.871	33.871	0	0.2347	0.0050
33.863	33.863	0	0.2562	0.0059
33.854	33.854	0	0.2775	0.0069
33.846	33.846	0	0.2988	0.0079
33.838	33.838	0	0.3203	0.0091
33.829	33.829	0	0.3422	0.0103
33.821	33.821	0	0.3643	0.0116
33.813	33.813	0	0.3866	0.0129
33.804	33.804	0	0.4088	0.0144
33.796	33.796	0	0.4313	0.0159
33.788	33.788	0	0.4536	0.0175
33.779	33.779	0	0.4758	0.0192
33.771	33.771	0	0.4982	0.0210
33.763	33.763	0	0.5206	0.0228
33.754	33.754	0	0.5435	0.0247
33.746	33.746	0	0.5667	0.0268
33.738	33.738	0	0.5898	0.0288
33.729	33.729	0	0.6128	0.0310
33.721	33.721	0	0.6355	0.0333
33.713	33.713	0	0.6583	0.0356
33.704	33.704	0	0.6813	0.0380
33.696	33.696	0	0.7043	0.0405
33.688	33.688	0	0.7273	0.0431
33.679	33.679	0	0.7504	0.0457
33.671	33.671	0	0.7739	0.0485
33.663	33.663	0	0.7977	0.0513
33.654	33.654	0	0.8215	0.0542
33.646	33.646	0	0.8450	0.0572
33.638	33.638	0	0.8684	0.0603
33.629	33.629	0	0.8917	0.0635
33.621	33.621	0	0.9152	0.0667
33.613	33.613	0	0.9388	0.0700
33.604	33.604	0	0.9625	0.0734
33.596	33.596	0	0.9865	0.0769
33.588	33.588	0	1.0106	0.0805
33.579	33.579	0	1.0348	0.0842
33.571	33.571	0	1.0590	0.0879
33.563	33.563	0	1.0832	0.0918
33.554	33.554	0	1.1076	0.0957
33.546	33.546	0	1.1323	0.0997
33.538	33.538	0	1.1570	0.1038
33.529	33.529	0	1.1819	0.1080
33.521	33.521	0	1.2063	0.1123
33.513	33.513	0	1.2308	0.1166
33.504	33.504	0	1.2554	0.1211
33.496	33.496	0	1.2797	0.1256
33.488	33.488	0	1.3043	0.1302
33.479	33.479	0	1.3291	0.1350
33.471	33.471	0	1.3542	0.1397
33.463	33.463	0	1.3793	0.1446
33.454	33.454	0	1.4046	0.1496
33.446	33.446	0	1.4298	0.1547
33.438	33.438	0	1.4547	0.1598
33.429	33.429	0	1.4800	0.1651
33.421	33.421	0	1.5055	0.1704
33.413	33.413	0	1.5312	0.1758
33.404	33.404	0	1.5569	0.1814
33.396	33.396	0	1.5822	0.1870
33.388	33.388	0	1.6075	0.1927
33.379	33.379	0	1.6328	0.1984
33.371	33.371	0	1.6586	0.2043
33.363	33.363	0	1.6850	0.2103
33.354	33.354	0	1.7113	0.2164
33.346	33.346	0	1.7378	0.2225
33.338	33.338	0	1.7642	0.2288
33.329	33.329	0	1.7911	0.2351
33.321	33.321	0	1.8181	0.2416
33.313	33.313	0	1.8444	0.2481
33.304	33.304	0	1.8703	0.2547
33.296	33.296	0	1.8964	0.2614
33.288	33.288	0	1.9226	0.2683
33.279	33.279	0	1.9489	0.2752
33.271	33.271	0	1.9753	0.2822
33.263	33.263	0	2.0020	0.2893
33.254	33.254	0	2.0289	0.2964
33.246	33.246	0	2.0560	0.3037
33.238	33.238	0	2.0830	0.3111
33.229	33.229	0	2.1099	0.3186
33.221	33.221	0	2.1368	0.3262
33.213	33.213	0	2.1637	0.3338
33.204	33.204	0	2.1905	0.3416
33.196	33.196	0	2.2171	0.3494
33.188	33.188	0	2.2440	0.3574
33.179	33.179	0	2.2710	0.3654
33.171	33.171	0	2.2983	0.3736
33.163	33.163	0	2.3257	0.3818
33.154	33.154	0	2.3524	0.3902
33.146	33.146	0	2.3792	0.3986
33.138	33.138	0	2.4070	0.4071
