[Header]
Application Name	LabSolutions
Version	5.110
Data File Name	C:\LabSolutions\Data\June 2025\bp-2-41-a2__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_018.lcd
Output Date	6/24/2025
Output Time	12:04:18 PM

[Configuration]
Instrument Name	Aqueos SEC
Instrument #	1
Line #	1
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	UV-Vis	RID
# of Channels	2	1

[GPC Peak Table(Detector B)]
# of Peaks	5
Peak#	Start Time	Top Time	End Time	Start Volume	Top Volume	End Volume	Start M.W.	Top M.W.	End M.W.	Start Height	Top Height	End Height
1	0.225	0.285	0.333	0.225	0.285	0.333	1514624745248	1281248616810	1122769659887	-2978	1438	-2944
2	0.333	0.425	0.517	0.333	0.425	0.517	1122769659887	873258291117	681777461949	-2944	2203	-2887
3	0.517	0.626	0.725	0.517	0.626	0.725	681777461949	508975639821	391339895944	-2887	2186	-2822
4	0.725	0.945	2.750	0.725	0.945	2.750	391339895944	220625970062	3301049876	-2822	988	-2194
5	25.808	26.961	33.967	25.808	26.961	33.967	344	125	0	399	53831	2067

[Average Molecular Weight Table(Detector B)]
# of Peaks	5
Peak#	Mn	Mw	Mz	Mz1	Mv	Mw/Mn	Mv/Mn	Mz/Mw	I.Visc	%
Total	1	5114262615	772281821133	961879119331	0	9831725369.00576	0.00000	151.00551	1.00000	100.0000
1	1276066465560	1282170089324	1288311882647	1294468071826	0	1.00478	0.00000	1.00479	1.00000	0.0835
2	892738348289	904974184340	917070126145	928913288642	0	1.01371	0.00000	1.01337	1.00000	0.2113
3	517052612431	525181984322	533280868595	541273990480	0	1.01572	0.00000	1.01542	1.00000	0.2204
4	39613063508	122370772721	204622075750	252439306975	0	3.08915	0.00000	1.67215	1.00000	0.7958
5	1	72	127	153	0	140.13766	0.00000	1.76995	1.00000	98.6890

[RT/MW Range Table(Detector B)]
# of RT/MW Range	0

[GPC Calibration Curve Table(Detector B)]
# of Points	10
#	Time(min)	M.W.	Weight	Error	Active	Virtual	Data Name
1	11.217	99000	1	3.1258	ON	OFF	C:\LabSolutions\Data\June 2025\black__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_008.lcd
2	12.683	42700	1	-7.5102	ON	OFF	C:\LabSolutions\Data\June 2025\blue__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_009.lcd
3	15.533	18600	1	6.2694	ON	OFF	C:\LabSolutions\Data\June 2025\yellow__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_007.lcd
4	17.968	9890	1	1.8763	ON	OFF	C:\LabSolutions\Data\June 2025\1530__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_006.lcd
5	19.452	6530	1	-3.8945	ON	OFF	C:\LabSolutions\Data\June 2025\black__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_008.lcd
6	21.023	4100	1	-5.0456	ON	OFF	C:\LabSolutions\Data\June 2025\1030__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_005.lcd
7	22.858	2130	1	0.9680	ON	OFF	C:\LabSolutions\Data\June 2025\yellow__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_007.lcd
8	23.629	1530	1	5.9523	ON	OFF	C:\LabSolutions\Data\June 2025\1530__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_006.lcd
9	24.245	1030	1	1.4121	ON	OFF	C:\LabSolutions\Data\June 2025\1030__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_005.lcd
10	25.003	599	1	-4.1761	ON	OFF	C:\LabSolutions\Data\June 2025\blue__PDB_34min_0.75mLpermin_260nm_05312022_2025_06_18_BMP_6182025_009.lcd
Calibration Curve	3rd Order
Comment	

[Molecular Weight Distribution Table(Detector B)]
# of Points	1282
R.Time	Volume(mL)	M.W.	M.W.(%)	Cumulative M.W.(%)
33.963	33.963	0	0.0016	0.0000
33.954	33.954	0	0.0201	0.0001
33.946	33.946	0	0.0387	0.0002
33.938	33.938	0	0.0572	0.0004
33.929	33.929	0	0.0757	0.0007
33.921	33.921	0	0.0944	0.0011
33.913	33.913	0	0.1133	0.0015
33.904	33.904	0	0.1327	0.0020
33.896	33.896	0	0.1521	0.0025
33.888	33.888	0	0.1713	0.0031
33.879	33.879	0	0.1904	0.0038
33.871	33.871	0	0.2094	0.0046
33.863	33.863	0	0.2285	0.0055
33.854	33.854	0	0.2477	0.0064
33.846	33.846	0	0.2667	0.0073
33.838	33.838	0	0.2859	0.0084
33.829	33.829	0	0.3057	0.0095
33.821	33.821	0	0.3254	0.0107
33.813	33.813	0	0.3446	0.0120
33.804	33.804	0	0.3638	0.0133
33.796	33.796	0	0.3836	0.0147
33.788	33.788	0	0.4035	0.0162
33.779	33.779	0	0.4233	0.0178
33.771	33.771	0	0.4433	0.0194
33.763	33.763	0	0.4633	0.0211
33.754	33.754	0	0.4833	0.0229
33.746	33.746	0	0.5031	0.0247
33.738	33.738	0	0.5227	0.0266
33.729	33.729	0	0.5425	0.0286
33.721	33.721	0	0.5624	0.0307
33.713	33.713	0	0.5825	0.0328
33.704	33.704	0	0.6030	0.0350
33.696	33.696	0	0.6236	0.0373
33.688	33.688	0	0.6443	0.0397
33.679	33.679	0	0.6650	0.0421
33.671	33.671	0	0.6855	0.0446
33.663	33.663	0	0.7058	0.0472
33.654	33.654	0	0.7262	0.0499
33.646	33.646	0	0.7469	0.0526
33.638	33.638	0	0.7677	0.0555
33.629	33.629	0	0.7882	0.0584
33.621	33.621	0	0.8087	0.0613
33.613	33.613	0	0.8294	0.0644
33.604	33.604	0	0.8501	0.0675
33.596	33.596	0	0.8711	0.0707
33.588	33.588	0	0.8922	0.0740
33.579	33.579	0	0.9133	0.0773
33.571	33.571	0	0.9343	0.0807
33.563	33.563	0	0.9555	0.0843
33.554	33.554	0	0.9769	0.0878
33.546	33.546	0	0.9982	0.0915
33.538	33.538	0	1.0198	0.0952
33.529	33.529	0	1.0413	0.0991
33.521	33.521	0	1.0631	0.1030
33.513	33.513	0	1.0847	0.1070
33.504	33.504	0	1.1062	0.1110
33.496	33.496	0	1.1275	0.1152
33.488	33.488	0	1.1494	0.1194
33.479	33.479	0	1.1715	0.1237
33.471	33.471	0	1.1936	0.1281
33.463	33.463	0	1.2162	0.1325
33.454	33.454	0	1.2390	0.1371
33.446	33.446	0	1.2617	0.1417
33.438	33.438	0	1.2842	0.1464
33.429	33.429	0	1.3066	0.1512
33.421	33.421	0	1.3292	0.1561
33.413	33.413	0	1.3517	0.1611
33.404	33.404	0	1.3743	0.1661
33.396	33.396	0	1.3968	0.1712
33.388	33.388	0	1.4196	0.1764
33.379	33.379	0	1.4423	0.1817
33.371	33.371	0	1.4651	0.1871
33.363	33.363	0	1.4880	0.1926
33.354	33.354	0	1.5113	0.1981
33.346	33.346	0	1.5346	0.2038
33.338	33.338	0	1.5579	0.2095
33.329	33.329	0	1.5813	0.2153
33.321	33.321	0	1.6045	0.2212
33.313	33.313	0	1.6279	0.2272
33.304	33.304	0	1.6518	0.2332
33.296	33.296	0	1.6759	0.2394
33.288	33.288	0	1.7004	0.2456
33.279	33.279	0	1.7246	0.2519
33.271	33.271	0	1.7483	0.2584
33.263	33.263	0	1.7722	0.2649
33.254	33.254	0	1.7962	0.2715
33.246	33.246	0	1.8204	0.2782
33.238	33.238	0	1.8450	0.2849
33.229	33.229	0	1.8703	0.2918
33.221	33.221	0	1.8956	0.2988
33.213	33.213	0	1.9205	0.3058
33.204	33.204	0	1.9455	0.3129
33.196	33.196	0	1.9706	0.3202
33.188	33.188	0	1.9959	0.3275
33.179	33.179	0	2.0213	0.3349
33.171	33.171	0	2.0467	0.3424
33.163	33.163	0	2.0716	0.3500
33.154	33.154	0	2.0966	0.3577
33.146	33.146	0	2.1217	0.3655
33.138	33.138	0	2.1472	0.3734
