[Header]
Application Name	LabSolutions
Version	5.110
Data File Name	C:\LabSolutions\Data\June 2025\bp-2-41-a3__PDB_34min_0.75mLpermin_260nm_05312022_2025-06-19_BMP_6192025_010.lcd
Output Date	6/24/2025
Output Time	12:04:14 PM

[Configuration]
Instrument Name	Aqueos SEC
Instrument #	1
Line #	1
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	UV-Vis	RID
# of Channels	2	1

[GPC Peak Table(Detector B)]
# of Peaks	6
Peak#	Start Time	Top Time	End Time	Start Volume	Top Volume	End Volume	Start M.W.	Top M.W.	End M.W.	Start Height	Top Height	End Height
1	0.225	0.287	0.333	0.225	0.287	0.333	1685821318838	1419401668459	1247885855747	-2961	1422	-2928
2	0.333	0.427	0.525	0.333	0.427	0.525	1247885855747	964377982712	739079778889	-2928	2157	-2869
3	0.525	0.628	0.733	0.525	0.628	0.733	739079778889	560585737714	423306004046	-2869	2112	-2806
4	0.733	0.957	2.592	0.733	0.957	2.592	423306004046	235883849317	4989169017	-2806	902	-2236
5	14.975	19.083	25.858	14.975	19.083	25.858	20513	7503	338	111	4863	379
6	25.858	26.966	33.967	25.858	26.966	33.967	338	128	0	379	91543	579

[Average Molecular Weight Table(Detector B)]
# of Peaks	6
Peak#	Mn	Mw	Mz	Mz1	Mv	Mw/Mn	Mv/Mn	Mz/Mw	I.Visc	%
Total	2	3940810591	867794565854	1072119865677	0	2491073049.50132	0.00000	220.20712	1.00000	100.0000
1	1416094259753	1422696944837	1429350618747	1436030692114	0	1.00466	0.00000	1.00468	1.00000	0.0596
2	984346203284	998654958633	1012747069899	1026498798324	0	1.01454	0.00000	1.01411	1.00000	0.1518
3	567258105639	576170146343	584943383152	593504388364	0	1.01571	0.00000	1.01523	1.00000	0.1533
4	52767834463	140152987845	224112466984	274245467560	0	2.65603	0.00000	1.59906	1.00000	0.4946
5	4130	6466	8002	9154	0	1.56561	0.00000	1.23756	1.00000	12.9040
6	1	83	126	147	0	60.70220	0.00000	1.52424	1.00000	86.2366

[RT/MW Range Table(Detector B)]
# of RT/MW Range	0

[GPC Calibration Curve Table(Detector B)]
# of Points	10
#	Time(min)	M.W.	Weight	Error	Active	Virtual	Data Name
1	11.245	99000	1	3.0450	ON	OFF	C:\LabSolutions\Data\June 2025\black__PDB_34min_0.75mLpermin_260nm_05312022_2025-06-19_BMP_6192025_007.lcd
2	12.713	42700	1	-7.4303	ON	OFF	C:\LabSolutions\Data\June 2025\blue__PDB_34min_0.75mLpermin_260nm_05312022_2025-06-19_BMP_6192025_008.lcd
3	15.568	18600	1	6.4791	ON	OFF	C:\LabSolutions\Data\June 2025\yellow__PDB_34min_0.75mLpermin_260nm_05312022_2025-06-19_BMP_6192025_006.lcd
4	17.994	9890	1	1.7937	ON	OFF	C:\LabSolutions\Data\June 2025\1530__PDB_34min_0.75mLpermin_260nm_05312022_2025-06-19_BMP_6192025_005.lcd
5	19.461	6530	1	-4.4925	ON	OFF	C:\LabSolutions\Data\June 2025\black__PDB_34min_0.75mLpermin_260nm_05312022_2025-06-19_BMP_6192025_007.lcd
6	21.068	4100	1	-4.6117	ON	OFF	C:\LabSolutions\Data\June 2025\1030__PDB_34min_0.75mLpermin_260nm_05312022_2025-06-19_BMP_6192025_004.lcd
7	22.896	2130	1	1.2296	ON	OFF	C:\LabSolutions\Data\June 2025\yellow__PDB_34min_0.75mLpermin_260nm_05312022_2025-06-19_BMP_6192025_006.lcd
8	23.654	1530	1	5.6067	ON	OFF	C:\LabSolutions\Data\June 2025\1530__PDB_34min_0.75mLpermin_260nm_05312022_2025-06-19_BMP_6192025_005.lcd
9	24.282	1030	1	1.7067	ON	OFF	C:\LabSolutions\Data\June 2025\1030__PDB_34min_0.75mLpermin_260nm_05312022_2025-06-19_BMP_6192025_004.lcd
10	25.031	599	1	-4.3511	ON	OFF	C:\LabSolutions\Data\June 2025\blue__PDB_34min_0.75mLpermin_260nm_05312022_2025-06-19_BMP_6192025_008.lcd
Calibration Curve	3rd Order
Comment	

[Molecular Weight Distribution Table(Detector B)]
# of Points	2563
R.Time	Volume(mL)	M.W.	M.W.(%)	Cumulative M.W.(%)
33.963	33.963	0	0.0001	0.0000
33.954	33.954	0	0.0041	0.0000
33.946	33.946	0	0.0080	0.0001
33.938	33.938	0	0.0119	0.0001
33.929	33.929	0	0.0160	0.0002
33.921	33.921	0	0.0200	0.0003
33.913	33.913	0	0.0240	0.0004
33.904	33.904	0	0.0283	0.0005
33.896	33.896	0	0.0326	0.0007
33.888	33.888	0	0.0370	0.0008
33.879	33.879	0	0.0411	0.0010
33.871	33.871	0	0.0453	0.0012
33.863	33.863	0	0.0495	0.0014
33.854	33.854	0	0.0534	0.0017
33.846	33.846	0	0.0574	0.0020
33.838	33.838	0	0.0616	0.0022
33.829	33.829	0	0.0658	0.0025
33.821	33.821	0	0.0702	0.0028
33.813	33.813	0	0.0746	0.0032
33.804	33.804	0	0.0789	0.0035
33.796	33.796	0	0.0834	0.0039
33.788	33.788	0	0.0880	0.0043
33.779	33.779	0	0.0926	0.0047
33.771	33.771	0	0.0973	0.0052
33.763	33.763	0	0.1021	0.0057
33.754	33.754	0	0.1067	0.0061
33.746	33.746	0	0.1113	0.0066
33.738	33.738	0	0.1160	0.0072
33.729	33.729	0	0.1207	0.0077
33.721	33.721	0	0.1254	0.0083
33.713	33.713	0	0.1301	0.0089
33.704	33.704	0	0.1349	0.0095
33.696	33.696	0	0.1397	0.0101
33.688	33.688	0	0.1445	0.0108
33.679	33.679	0	0.1494	0.0115
33.671	33.671	0	0.1544	0.0122
33.663	33.663	0	0.1595	0.0129
33.654	33.654	0	0.1644	0.0137
33.646	33.646	0	0.1692	0.0144
33.638	33.638	0	0.1743	0.0152
33.629	33.629	0	0.1794	0.0160
33.621	33.621	0	0.1846	0.0169
33.613	33.613	0	0.1898	0.0177
33.604	33.604	0	0.1950	0.0186
33.596	33.596	0	0.2002	0.0195
33.588	33.588	0	0.2054	0.0205
33.579	33.579	0	0.2107	0.0214
33.571	33.571	0	0.2159	0.0224
33.563	33.563	0	0.2211	0.0234
33.554	33.554	0	0.2264	0.0244
33.546	33.546	0	0.2318	0.0255
33.538	33.538	0	0.2373	0.0266
33.529	33.529	0	0.2428	0.0277
33.521	33.521	0	0.2484	0.0288
33.513	33.513	0	0.2543	0.0300
33.504	33.504	0	0.2602	0.0312
33.496	33.496	0	0.2660	0.0324
33.488	33.488	0	0.2718	0.0336
33.479	33.479	0	0.2776	0.0349
33.471	33.471	0	0.2832	0.0362
33.463	33.463	0	0.2890	0.0375
33.454	33.454	0	0.2948	0.0388
33.446	33.446	0	0.3008	0.0402
33.438	33.438	0	0.3067	0.0416
33.429	33.429	0	0.3125	0.0430
33.421	33.421	0	0.3183	0.0445
33.413	33.413	0	0.3244	0.0459
33.404	33.404	0	0.3305	0.0474
33.396	33.396	0	0.3367	0.0490
33.388	33.388	0	0.3431	0.0505
33.379	33.379	0	0.3496	0.0521
33.371	33.371	0	0.3560	0.0537
33.363	33.363	0	0.3624	0.0554
33.354	33.354	0	0.3688	0.0571
33.346	33.346	0	0.3754	0.0588
33.338	33.338	0	0.3822	0.0605
33.329	33.329	0	0.3891	0.0623
33.321	33.321	0	0.3959	0.0641
33.313	33.313	0	0.4025	0.0659
33.304	33.304	0	0.4091	0.0678
33.296	33.296	0	0.4156	0.0697
33.288	33.288	0	0.4223	0.0716
33.279	33.279	0	0.4294	0.0735
33.271	33.271	0	0.4364	0.0755
33.263	33.263	0	0.4436	0.0775
33.254	33.254	0	0.4506	0.0796
33.246	33.246	0	0.4575	0.0817
33.238	33.238	0	0.4647	0.0838
33.229	33.229	0	0.4720	0.0859
33.221	33.221	0	0.4793	0.0881
33.213	33.213	0	0.4865	0.0903
33.204	33.204	0	0.4937	0.0926
33.196	33.196	0	0.5012	0.0949
33.188	33.188	0	0.5088	0.0972
33.179	33.179	0	0.5164	0.0995
33.171	33.171	0	0.5237	0.1019
33.163	33.163	0	0.5309	0.1043
33.154	33.154	0	0.5383	0.1068
33.146	33.146	0	0.5459	0.1093
33.138	33.138	0	0.5535	0.1118
33.129	33.129	0	0.5615	0.1143
33.121	33.121	0	0.5694	0.1169
33.113	33.113	0	0.5774	0.1196
33.104	33.104	0	0.5854	0.1222
